Player,Team,Number,Position,Height,Weight,Last Attended,Country,Image
orlandorobinson,MIA,25.0,C,6-10,235 lbs,Fresno State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631115.png
jeremiahrobinson-earl,NOP,50.0,F,6-8,240 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630526.png
davidroddy,MEM,21.0,F,6-4,255 lbs,Colorado State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631223.png
ryanrollins,WAS,9.0,G,6-3,180 lbs,Toledo,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631157.png
derrickrose,MEM,23.0,G,6-3,200 lbs,Memphis,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201565.png
terryrozier,CHA,3.0,G,6-1,190 lbs,Louisville,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626179.png
rickyrubio,CLE,13.0,G,6-2,190 lbs,FC Barcelona,Spain,https://cdn.nba.com/headshots/nba/latest/260x190/201937.png
rayanrupert,POR,72.0,G-F,6-6,185 lbs,New Zealand Breakers,France,https://cdn.nba.com/headshots/nba/latest/260x190/1641712.png
d'angelorussell,LAL,1.0,G,6-3,193 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626156.png
mattryan,NOP,37.0,F,6-6,215 lbs,Tennessee-Chattanooga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630346.png
domantassabonis,SAC,10.0,F-C,6-10,240 lbs,Gonzaga,Lithuania,https://cdn.nba.com/headshots/nba/latest/260x190/1627734.png
lukasamanic,UTA,19.0,F,6-10,227 lbs,Union Olimpija,Croatia,https://cdn.nba.com/headshots/nba/latest/260x190/1629677.png
jermainesamuels jr.,HOU,0.0,F,6-6,230 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631257.png
adamasanogo,CHI,21.0,F,6-9,245 lbs,Connecticut,Mali,https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png
guisantos,GSW,15.0,F,6-6,185 lbs,,Brazil,https://cdn.nba.com/headshots/nba/latest/260x190/1630611.png
dariosaric,GSW,20.0,F-C,6-10,225 lbs,Anadolu Efes,Croatia,https://cdn.nba.com/headshots/nba/latest/260x190/203967.png
oliviersarr,OKC,30.0,C,6-10,240 lbs,Kentucky,France,https://cdn.nba.com/headshots/nba/latest/260x190/1630846.png
marcussasser,DET,25.0,G,6-2,195 lbs,Houston,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631204.png
admiralschofield,ORL,25.0,F,6-5,241 lbs,Tennessee,United Kingdom,https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png
dennisschroder,TOR,17.0,G,6-1,175 lbs,Braunschweig,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/203471.png
dereonseabron,NOP,0.0,G,6-5,180 lbs,North Carolina State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631220.png
alperensengun,HOU,28.0,C,6-11,243 lbs,Besiktas,Turkey,https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png
bricesensabaugh,UTA,8.0,F,6-5,235 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641729.png
collinsexton,UTA,2.0,G,6-3,190 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629012.png
landryshamet,WAS,20.0,G,6-4,190 lbs,Wichita State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629013.png
day'ronsharpe,BKN,20.0,C,6-9,265 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630549.png
shaedonsharpe,POR,17.0,G,6-5,205 lbs,Kentucky,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1631101.png
bensheppard,IND,26.0,G,6-6,190 lbs,Belmont,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641767.png
pascalsiakam,TOR,43.0,F,6-8,245 lbs,New Mexico State,Cameroon,https://cdn.nba.com/headshots/nba/latest/260x190/1627783.png
bensimmons,BKN,10.0,G-F,6-10,240 lbs,Louisiana State,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/1627732.png
anferneesimons,POR,1.0,G,6-3,193 lbs,Edgewater HS (FL),USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png
jerichosims,NYK,45.0,C,6-10,250 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630579.png
jalenslawson,SAC,18.0,F,6-7,215 lbs,Furman,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641771.png
javontesmart,PHI,39.0,G,6-4,205 lbs,Louisiana State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630606.png
marcussmart,MEM,36.0,G,6-3,220 lbs,Oklahoma State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203935.png
drusmith,MIA,9.0,G,6-2,203 lbs,Missouri,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630696.png
ishsmith,CHA,14.0,G,6-0,175 lbs,Wake Forest,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202397.png
jalensmith,IND,25.0,F-C,6-9,215 lbs,Maryland,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630188.png
terquavionsmith,PHI,23.0,G,6-4,160 lbs,North Carolina State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631173.png
dennissmith jr.,BKN,4.0,G,6-3,205 lbs,North Carolina State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628372.png
jabarismith jr.,HOU,10.0,F,6-11,220 lbs,Auburn,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631095.png
nicksmith jr.,CHA,8.0,G,6-2,185 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641733.png
jeremysochan,SAS,10.0,F,6-8,230 lbs,Baylor,Poland,https://cdn.nba.com/headshots/nba/latest/260x190/1631110.png
jadenspringer,PHI,11.0,G,6-4,202 lbs,Tennessee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630531.png
lamarstevens,BOS,77.0,F,6-7,230 lbs,Penn State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630205.png
isaiahstewart,DET,28.0,F-C,6-8,250 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630191.png
julianstrawther,DEN,3.0,G,6-6,205 lbs,Gonzaga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631124.png
maxstrus,CLE,1.0,G-F,6-5,215 lbs,DePaul,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png
jalensuggs,ORL,4.0,G,6-5,205 lbs,Gonzaga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630591.png
coleswider,MIA,21.0,F,6-8,220 lbs,Syracuse,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631306.png
jae'seantate,HOU,8.0,F,6-4,230 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630256.png
jaysontatum,BOS,0.0,F-G,6-8,210 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628369.png
terrytaylor,CHI,32.0,F,6-4,230 lbs,Austin Peay,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630678.png
garretttemple,TOR,14.0,G-F,6-5,195 lbs,Louisiana State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202066.png
dalenterry,CHI,25.0,F,6-7,195 lbs,Arizona,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631207.png
danieltheis,IND,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1628464.png
camthomas,BKN,24.0,G,6-3,210 lbs,Louisiana State,Japan,https://cdn.nba.com/headshots/nba/latest/260x190/1630560.png
amenthompson,HOU,1.0,G-F,6-7,200 lbs,Overtime Elite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png
ausarthompson,DET,9.0,G-F,6-6,205 lbs,Overtime Elite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png
klaythompson,GSW,11.0,G,6-6,220 lbs,Washington State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202691.png
tristanthompson,CLE,12.0,C-F,6-9,254 lbs,Texas-Austin,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/202684.png
jtthor,CHA,21.0,F,6-9,203 lbs,Auburn,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630550.png
matissethybulle,POR,4.0,G-F,6-5,201 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629680.png
xaviertillman,MEM,2.0,F,6-7,245 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630214.png
jacobtoppin,NYK,0.0,F,6-8,200 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631210.png
obitoppin,IND,1.0,F,6-9,220 lbs,Dayton,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630167.png
karl-anthonytowns,MIN,32.0,C-F,7-0,248 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626157.png
garytrent jr.,TOR,33.0,G-F,6-5,204 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629018.png
oscartshiebwe,IND,44.0,F-C,6-8,255 lbs,Kentucky,DRC,https://cdn.nba.com/headshots/nba/latest/260x190/1631131.png
p.j.tucker,LAC,17.0,F,6-5,245 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/200782.png
mylesturner,IND,33.0,C-F,6-11,250 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626167.png
huntertyson,DEN,4.0,F,6-8,215 lbs,Clemson,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641816.png
stanleyumude,DET,17.0,G,6-6,210 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630649.png
jonasvalanciunas,NOP,17.0,C,6-11,265 lbs,Lietuvos rytas Vilnius,Lithuania,https://cdn.nba.com/headshots/nba/latest/260x190/202685.png
fredvanvleet,HOU,5.0,G,6-0,197 lbs,Wichita State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627832.png
jarredvanderbilt,LAL,2.0,F,6-8,214 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629020.png
devinvassell,SAS,24.0,G-F,6-5,200 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630170.png
sashavezenkov,SAC,7.0,F,6-8,225 lbs,"Barcelona, Spain",Bulgaria,https://cdn.nba.com/headshots/nba/latest/260x190/1628426.png
gabevincent,LAL,7.0,G,6-2,200 lbs,California-Santa Barbara,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629216.png
nikolavucevic,CHI,9.0,C,6-10,260 lbs,Southern California,Montenegro,https://cdn.nba.com/headshots/nba/latest/260x190/202696.png
deanwade,CLE,32.0,F-C,6-9,228 lbs,Kansas State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629731.png
franzwagner,ORL,22.0,F,6-10,220 lbs,Michigan,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1630532.png
moritzwagner,ORL,21.0,F-C,6-11,245 lbs,Michigan,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1629021.png
ishwainright,POR,23.0,F,6-5,250 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630688.png
jabariwalker,POR,34.0,F,6-7,227 lbs,Colorado,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631133.png
jaracewalker,IND,5.0,F,6-7,235 lbs,Houston,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641716.png
lonniewalker iv,BKN,8.0,G-F,6-4,204 lbs,Miami,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629022.png
casonwallace,OKC,22.0,G,6-3,195 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641717.png
jordanwalsh,BOS,27.0,G,6-6,205 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641775.png
p.j.washington,CHA,25.0,F,6-7,230 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629023.png
duanewashington jr.,NYK,4.0,G,6-2,197 lbs,Ohio State,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1630613.png
tytywashington jr.,MIL,23.0,G,6-3,195 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631102.png
yutawatanabe,PHX,18.0,G-F,6-9,215 lbs,George Washington,Japan,https://cdn.nba.com/headshots/nba/latest/260x190/1629139.png
lindywaters iii,OKC,12.0,F,6-6,210 lbs,Oklahoma State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630322.png
trendonwatford,BKN,9.0,F,6-8,237 lbs,Louisiana State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630570.png
peytonwatson,DEN,8.0,G,6-7,200 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631212.png
victorwembanyama,SAS,1.0,F-C,7-4,210 lbs,Metropolitans 92,France,https://cdn.nba.com/headshots/nba/latest/260x190/1641705.png
blakewesley,SAS,14.0,G,6-3,185 lbs,Notre Dame,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631104.png
russellwestbrook,LAC,0.0,G,6-4,200 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201566.png
cobywhite,CHI,0.0,G,6-5,195 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629632.png
derrickwhite,BOS,9.0,G,6-4,190 lbs,Colorado,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png
dariqwhitehead,BKN,0.0,F,6-6,220 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641727.png
camwhitmore,HOU,7.0,F,6-7,230 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641715.png
aaronwiggins,OKC,21.0,G,6-5,190 lbs,Maryland,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png
andrewwiggins,GSW,22.0,F,6-7,197 lbs,Kansas,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/203952.png
lindellwigginton,MIL,28.0,G,6-1,189 lbs,Iowa State,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629623.png
grantwilliams,DAL,3.0,F,6-6,236 lbs,Tennessee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629684.png
jalenwilliams,OKC,8.0,G-F,6-5,211 lbs,Santa Clara,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631114.png
jaylinwilliams,OKC,6.0,F,6-9,240 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631119.png
kenrichwilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629026.png
markwilliams,CHA,5.0,C,7-0,240 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631109.png
natewilliams,HOU,19.0,G,6-5,205 lbs,Buffalo,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631466.png
patrickwilliams,CHI,44.0,F,6-7,215 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630172.png
ziairewilliams,MEM,8.0,F,6-9,185 lbs,Stanford,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630533.png
robertwilliams iii,POR,35.0,C-F,6-9,249 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629057.png
vincewilliams jr.,MEM,5.0,G,6-4,205 lbs,Virginia Commonwealth,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631246.png
zionwilliamson,NOP,1.0,F,6-6,284 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629627.png
jalenwilson,BKN,22.0,F,6-6,220 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630592.png
dylanwindler,NYK,20.0,G-F,6-7,196 lbs,Belmont,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629685.png
jameswiseman,DET,13.0,C,6-11,240 lbs,Memphis,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630164.png
isaiahwong,IND,21.0,G,6-3,185 lbs,Miami,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631209.png
christianwood,LAL,35.0,F,6-8,214 lbs,UNLV,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626174.png
delonwright,WAS,55.0,G,6-5,185 lbs,Utah,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png
thaddeusyoung,TOR,21.0,F,6-8,225 lbs,Georgia Tech,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201152.png
traeyoung,ATL,11.0,G,6-1,164 lbs,Oklahoma,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629027.png
omeryurtseven,UTA,77.0,C,6-11,275 lbs,Georgetown,Turkey,https://cdn.nba.com/headshots/nba/latest/260x190/1630209.png
codyzeller,NOP,40.0,F-C,6-11,240 lbs,Indiana,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203469.png
ivicazubac,LAC,40.0,C,7-0,240 lbs,Mega Basket,Croatia,https://cdn.nba.com/headshots/nba/latest/260x190/1627826.png
