Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dru Smith,SG,26,MIA,4,0,17.3,1.8,3.8,0.467,1,2,0.5,0.8,1.8,0.429,0.6,0,0,,0.8,1,1.8,2.3,1.3,0.5,0.5,1,4.5
Jeenathan Williams,SG,24,HOU,2,0,6.5,2,3.5,0.571,0,1,0,2,2.5,0.8,0.571,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,4.5
Cam Reddish,SF,24,LAL,8,2,20.3,1.4,4.5,0.306,0.3,2,0.125,1.1,2.5,0.45,0.333,1.4,1.8,0.786,0.5,2,2.5,1,1,0.3,0.6,1.6,4.4
Dennis Smith Jr.,PG,26,BRK,7,0,15,1.9,5.1,0.361,0.6,1.9,0.308,1.3,3.3,0.391,0.417,0.1,0.3,0.5,0.7,1,1.7,1.7,0.7,0.3,0.9,2.1,4.4
Trayce Jackson-Davis,PF,23,GSW,6,0,9.2,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,1.3,2.3,0.571,1.3,1.3,2.7,0.3,0.2,0.8,0.3,1.8,4.3
Ben Sheppard,SG,22,IND,3,0,10.7,1.7,4,0.417,1,2.7,0.375,0.7,1.3,0.5,0.542,0,0,,0.3,1,1.3,0.7,0,0,0,1.3,4.3
Kris Dunn,PG,29,UTA,8,0,12.8,1.6,4,0.406,0.4,1,0.375,1.3,3,0.417,0.453,0.5,0.8,0.667,0.4,1.9,2.3,2.5,0.6,0,1.3,1.6,4.1
Aaron Wiggins,SG,25,OKC,7,0,11.3,1.7,3.1,0.545,0.3,1.3,0.222,1.4,1.9,0.769,0.591,0.4,0.6,0.75,0.3,1.1,1.4,0.4,0.1,0.1,0.6,1.1,4.1
Moses Brown,C,24,POR,1,0,5,2,3,0.667,0,0,,2,3,0.667,0.667,0,2,0,2,1,3,1,0,1,0,1,4
Jamal Cain,PF,24,MIA,2,0,14.5,2,4.5,0.444,0,2,0,2,2.5,0.8,0.444,0,0,,1.5,1.5,3,0,1.5,0,0.5,1,4
Furkan Korkmaz,SG,26,PHI,5,0,11.8,1.4,2.8,0.5,0.6,1.2,0.5,0.8,1.6,0.5,0.607,0.6,1,0.6,0.2,1,1.2,0.6,0.8,0,0.8,0.6,4
Tre Mann,PG,22,OKC,3,0,4,1.7,2.3,0.714,0.3,0.7,0.5,1.3,1.7,0.8,0.786,0.3,0.3,1,0.3,1,1.3,0.7,0,0,0.3,0,4
Otto Porter Jr.,SF,30,TOR,3,0,16.7,1.3,3.7,0.364,1.3,3.3,0.4,0,0.3,0,0.545,0,0,,0.7,2.7,3.3,0.3,0.3,0.7,0,2,4
Vince Williams Jr.,SG,23,MEM,3,0,9,0.7,2.3,0.286,0.3,2,0.167,0.3,0.3,1,0.357,2.3,2.7,0.875,0,1.3,1.3,1.3,0.3,1,0.7,1.3,4
Charles Bassey,C,23,SAS,8,0,12.4,1.9,2.1,0.882,0,0,,1.9,2.1,0.882,0.882,0.1,0.1,1,1,2.3,3.3,0.9,0.9,0.5,0.6,1.5,3.9
Max Christie,SG,20,LAL,5,0,18,1.4,5,0.28,0.2,2,0.1,1.2,3,0.4,0.3,0.8,1,0.8,0.2,3.2,3.4,0.8,0.2,0.2,0.6,1.8,3.8
Colby Jones,SG,21,SAC,5,0,10,1.6,3.4,0.471,0.2,0.8,0.25,1.4,2.6,0.538,0.5,0.4,0.4,1,1,1.4,2.4,0.4,0.2,0.2,0.6,1,3.8
John Konchar,SF,27,MEM,5,0,20,1.6,3.2,0.5,0.6,1.6,0.375,1,1.6,0.625,0.594,0,0,,1.4,4,5.4,1.2,0.6,1,0.2,0.8,3.8
Nassir Little,PF,23,PHO,5,0,11.6,1.2,2.8,0.429,0.6,2,0.3,0.6,0.8,0.75,0.536,0.8,0.8,1,0.2,1.2,1.4,0.2,1,0.2,0.4,1.6,3.8
Kenneth Lofton Jr.,PF,21,MEM,5,0,8.4,1.4,2.8,0.5,0.4,0.6,0.667,1,2.2,0.455,0.571,0.6,2,0.3,0.4,1,1.4,1.4,0.4,0.2,0.4,1.6,3.8
JT Thor,PF,21,CHO,7,0,18.3,1.6,3.9,0.407,0.6,2,0.286,1,1.9,0.538,0.481,0,0,,0.9,2.7,3.6,0.9,0.6,0.4,0.3,1.1,3.7
Anthony Gill,PF,31,WAS,5,0,7.2,1.2,2.6,0.462,0,0.2,0,1.2,2.4,0.5,0.462,1.2,1.6,0.75,0.6,0.8,1.4,0.6,0.2,0.6,0.4,0.6,3.6
Robert Covington,SF,33,PHI,4,0,9.5,1,2.3,0.444,0.5,1.5,0.333,0.5,0.8,0.667,0.556,1,1,1,0.8,1,1.8,0,1.8,0.5,0.5,1.8,3.5
Luka Garza,C,25,MIN,2,0,3,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.5,1,0.5,0.5,1,1.5,0,0,0,0,1.5,3.5
Kira Lewis Jr.,PG,22,NOP,8,0,13.1,1.3,4.3,0.294,0.1,1.6,0.077,1.1,2.6,0.429,0.309,0.9,1,0.875,0.3,0.9,1.1,1.5,0.5,0.1,0.5,0.9,3.5
AJ Griffin,SF,20,ATL,5,0,9,1.2,2.4,0.5,1,2,0.5,0.2,0.4,0.5,0.708,0,0,,0.2,0.8,1,0.4,0.2,0,0.4,0.2,3.4
Joe Harris,SG,32,DET,7,0,14,1.3,3.6,0.36,0.9,2.7,0.316,0.4,0.9,0.5,0.48,0,0,,0.3,0.7,1,0.9,0.3,0,0.4,1.7,3.4
Jonathan Isaac,PF,26,ORL,5,0,11.2,1.2,3.6,0.333,0.4,2.4,0.167,0.8,1.2,0.667,0.389,0.6,0.8,0.75,0.4,2,2.4,0.4,0.6,1.2,0.6,1.4,3.4
Maxi Kleber,PF,32,DAL,5,1,18,0.8,3.2,0.25,0.6,1.8,0.333,0.2,1.4,0.143,0.344,1.2,2,0.6,0.8,3.4,4.2,2,0.2,0.2,0.8,1.6,3.4
Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4,0.35,0.4,2.4,0.167,1,1.6,0.625,0.4,0.2,0.4,0.5,0.6,1,1.6,0.4,0.2,0,0.4,1.6,3.4
Zeke Nnaji,PF,23,DEN,9,0,10.7,1.3,2.4,0.545,0.1,0.4,0.25,1.2,2,0.611,0.568,0.7,1.1,0.6,0.7,1.7,2.3,0.6,0.2,0.6,0.4,1.2,3.4
Nickeil Alexander-Walker,SG,25,MIN,7,2,19.3,1.3,4.6,0.281,0.7,2.9,0.25,0.6,1.7,0.333,0.359,0,0.6,0,0.1,2,2.1,2.9,0.9,0.9,1.1,1.7,3.3
Robert Covington,SF-PF,33,TOT,7,3,15.3,1,2.6,0.389,0.6,2,0.286,0.4,0.6,0.75,0.5,0.7,0.9,0.833,0.7,1.4,2.1,1,1.9,0.6,0.3,2,3.3
Boban Marjanovi?,C,35,HOU,3,0,6.7,1.7,3,0.556,0,0.3,0,1.7,2.7,0.625,0.556,0,0.3,0,0.7,2,2.7,1,0,0.3,0,0.7,3.3
Vasilije Mici?,PG,30,OKC,3,0,10.7,1.3,3,0.444,0.7,1.7,0.4,0.7,1.3,0.5,0.556,0,0,,0,0.3,0.3,2.3,0,0,1.3,0.7,3.3
Luka ?amani?,PF,24,UTA,4,0,4,1.3,2.5,0.5,0.5,1.3,0.4,0.8,1.3,0.6,0.6,0.3,0.3,1,0,1,1,0.3,0.3,0,0,0.3,3.3
Dean Wade,PF,27,CLE,7,3,17.9,1.1,3.3,0.348,1,3,0.333,0.1,0.3,0.5,0.5,0,0.3,0,0.9,2.6,3.4,0.6,0.9,0.3,0.6,2,3.3
Jarace Walker,PF,20,IND,3,0,9,1.3,4,0.333,0,0.7,0,1.3,3.3,0.4,0.333,0.7,0.7,1,0.3,2,2.3,1.7,0.3,0.3,0,0.7,3.3
Ochai Agbaji,SG,23,UTA,9,1,14.7,1.2,3.7,0.333,0.8,2.4,0.318,0.4,1.2,0.364,0.439,0,0.2,0,0.4,1.3,1.8,1,0.1,0.4,0.7,1.1,3.2
Gradey Dick,SG,20,TOR,8,0,14.1,1.1,4.1,0.273,0.6,2.6,0.238,0.5,1.5,0.333,0.348,0.3,0.3,1,0.5,1.1,1.6,0.9,0.3,0,0.6,1.6,3.1
Payton Pritchard,PG,26,BOS,7,0,18.7,1.1,4.9,0.235,0.4,2.9,0.15,0.7,2,0.357,0.279,0.4,0.4,1,1,1.9,2.9,3.7,0.1,0,0.9,1.7,3.1
Robert Covington,PF,33,LAC,3,3,23,1,3,0.333,0.7,2.7,0.25,0.3,0.3,1,0.444,0.3,0.7,0.5,0.7,2,2.7,2.3,2,0.7,0,2.3,3
A.J. Green,SG,24,MIL,3,0,8.7,1,2.3,0.429,0.7,1.7,0.4,0.3,0.7,0.5,0.571,0.3,0.3,1,0,0.7,0.7,1,0,0,0,1.3,3
Nate Hinton,SG,24,HOU,2,0,4,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,0,0.5,3
Caleb Houstan,SF,21,ORL,4,0,6.3,1,2.3,0.444,0.8,2,0.375,0.3,0.3,1,0.611,0.3,0.3,1,0,0.8,0.8,0.3,0,0,0,0.3,3
Luke Kornet,C,28,BOS,6,0,9.7,1.2,1.5,0.778,0,0,,1.2,1.5,0.778,0.778,0.7,0.8,0.8,0.5,1.5,2,0.5,0.5,0.2,0.2,1,3
Marcus Morris,PF,34,PHI,1,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,1,1,1,0,1,1,0,0,1,0,0,3
Lamar Stevens,PF,26,BOS,3,0,5.7,1.3,2.3,0.571,0.3,0.3,1,1,2,0.5,0.643,0,0,,1.3,0.3,1.7,0.7,0.3,0,1,1,3
Tristan Thompson,PF,32,CLE,6,0,11.2,1.2,1.7,0.7,0,0,,1.2,1.7,0.7,0.7,0.7,1.2,0.571,1.3,2,3.3,0.8,0.2,0.5,1,1.3,3
TyTy Washington Jr.,PG,22,MIL,1,0,3,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,1,0,3
Oshae Brissett,SF,25,BOS,4,0,13.5,0.8,3.5,0.214,0.3,1.8,0.143,0.5,1.8,0.286,0.25,1,1,1,1.3,1.5,2.8,0.5,0.8,0,0.5,0.8,2.8
Collin Gillespie,PG,24,DEN,5,0,10.2,1,2.2,0.455,0.6,1.8,0.333,0.4,0.4,1,0.591,0.2,0.2,1,0,0.4,0.4,0.8,0.6,0,0.2,1.4,2.8
Jock Landale,C,28,HOU,5,0,13.6,1,3.2,0.313,0.4,1.8,0.222,0.6,1.4,0.429,0.375,0.4,0.4,1,1.2,1.2,2.4,1.4,0.6,0.4,1,1,2.8
Mike Muscala,C,32,WAS,5,1,11.4,1,2.8,0.357,0.4,1.6,0.25,0.6,1.2,0.5,0.429,0.4,0.4,1,0.2,2,2.2,0.8,0.2,0.2,0.6,1.4,2.8
Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
Svi Mykhailiuk,SF,26,BOS,3,0,6.7,1,2.7,0.375,0.7,2,0.333,0.3,0.7,0.5,0.5,0,0,,0,1,1,0.3,0.3,0,0,0,2.7
Omer Yurtseven,C,25,UTA,6,0,5.2,1.2,1.7,0.7,0.2,0.5,0.333,1,1.2,0.857,0.75,0.2,0.3,0.5,0.5,1.3,1.8,0.5,0,0.2,0.2,1,2.7
Patrick Beverley,PG,35,PHI,7,0,16.9,1.1,2.6,0.444,0.1,1,0.143,1,1.6,0.636,0.472,0.1,0.1,1,1.4,2.4,3.9,2.4,0.6,0.7,0.7,1.9,2.6
Alex Len,C,30,SAC,4,0,6.5,1,1.3,0.8,0,0.3,0,1,1,1,0.8,0.5,1.3,0.4,1,1.5,2.5,0.5,0.3,0.8,0,0.3,2.5
Jordan Miller,SF,24,LAC,2,0,3.5,1,1.5,0.667,0.5,0.5,1,0.5,1,0.5,0.833,0,0,,0,0,0,0,0,0,0,1,2.5
Jalen Pickett,SG,24,DEN,4,0,2.3,1,1.3,0.8,0.5,0.8,0.667,0.5,0.5,1,1,0,0,,0,0.5,0.5,0,0,0,0,0.3,2.5
Brandin Podziemski,SG,20,GSW,4,0,10.8,1,2.5,0.4,0,0.5,0,1,2,0.5,0.4,0.5,0.8,0.667,0.8,2.5,3.3,1.5,0,0,1,1.5,2.5
Nick Smith Jr.,SG,19,CHO,2,0,2.5,1,1,1,0.5,0.5,1,0.5,0.5,1,1.25,0,0,,0,0.5,0.5,0,0.5,0,0.5,0,2.5
